Time	Open	High	Low	Close	Volume
2021-09-06 08:05:00	1.0864	1.0864	1.08613	1.08614	144
2021-09-06 08:10:00	1.08614	1.08634	1.08609	1.08633	117
2021-09-06 08:15:00	1.08631	1.08655	1.08625	1.08626	176
2021-09-06 08:20:00	1.08625	1.08626	1.08607	1.0861	134
2021-09-06 08:25:00	1.0861	1.08616	1.08587	1.08594	219
2021-09-06 08:30:00	1.08594	1.0862	1.08594	1.08613	192
2021-09-06 08:35:00	1.08614	1.08622	1.08584	1.08584	237
2021-09-06 08:40:00	1.08583	1.08587	1.08561	1.08568	108
2021-09-06 08:45:00	1.08569	1.08612	1.08569	1.08606	136
2021-09-06 08:50:00	1.08605	1.0865	1.08604	1.08646	146
2021-09-06 08:55:00	1.08646	1.08651	1.08627	1.08627	157
2021-09-06 09:00:00	1.08626	1.08631	1.0861	1.0863	202
2021-09-06 09:05:00	1.08627	1.08636	1.08623	1.08626	116
2021-09-06 09:10:00	1.08626	1.08631	1.08619	1.08628	74
2021-09-06 09:15:00	1.08629	1.08635	1.0862	1.0862	110
2021-09-06 09:20:00	1.08621	1.08643	1.08616	1.08642	223
2021-09-06 09:25:00	1.08643	1.08652	1.08638	1.08648	284
2021-09-06 09:30:00	1.08648	1.08655	1.08641	1.08653	159
2021-09-06 09:35:00	1.08653	1.08665	1.08652	1.08656	101
2021-09-06 09:40:00	1.08656	1.08656	1.08648	1.08655	145
2021-09-06 09:45:00	1.08655	1.08657	1.08642	1.08644	110
2021-09-06 09:50:00	1.08645	1.08652	1.08642	1.08649	81
2021-09-06 09:55:00	1.08649	1.08655	1.08629	1.08642	200
2021-09-06 10:00:00	1.08641	1.08659	1.08641	1.08649	153
2021-09-06 10:05:00	1.08649	1.08655	1.08647	1.08649	136
2021-09-06 10:10:00	1.0865	1.08669	1.08647	1.08666	123
2021-09-06 10:15:00	1.08667	1.08667	1.08647	1.08649	163
2021-09-06 10:20:00	1.0865	1.08692	1.08649	1.08692	133
2021-09-06 10:25:00	1.08693	1.08707	1.08677	1.08681	160
2021-09-06 10:30:00	1.08682	1.08686	1.0867	1.08686	74
2021-09-06 10:35:00	1.08686	1.08695	1.08685	1.08693	102
2021-09-06 10:40:00	1.08691	1.08693	1.08681	1.08687	103
2021-09-06 10:45:00	1.08687	1.0869	1.08683	1.08688	109
2021-09-06 10:50:00	1.08689	1.08698	1.08685	1.08685	90
